Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 2: NDI 8700340  s/n:34802401	66985	1	OK	0.6770501	-0.4952626	0.2991739	0.4547671	-97.390	93.356	446.358	0.2002228	0
1	Port 2: NDI 8700340  s/n:34802401	66986	1	OK	0.6779351	-0.4897364	0.3028080	0.4570226	-96.087	93.127	447.191	0.2194008	0
1	Port 2: NDI 8700340  s/n:34802401	66987	1	OK	0.6793135	-0.4839899	0.3060810	0.4589132	-94.684	92.932	447.993	0.2179198	0
1	Port 2: NDI 8700340  s/n:34802401	66988	1	OK	0.6807917	-0.4793675	0.3102021	0.4588073	-93.555	92.524	449.039	0.1965747	0
1	Port 2: NDI 8700340  s/n:34802401	66989	1	OK	0.6805378	-0.4722962	0.3150516	0.4631923	-91.964	92.326	449.812	0.2000242	0
1	Port 2: NDI 8700340  s/n:34802401	66990	1	OK	0.6818289	-0.4669621	0.3196310	0.4635643	-90.642	92.095	450.801	0.1960056	0
1	Port 2: NDI 8700340  s/n:34802401	66991	1	OK	0.6823716	-0.4603100	0.3236304	0.4666337	-89.355	91.664	451.556	0.2062402	0
1	Port 2: NDI 8700340  s/n:34802401	66992	1	OK	0.6820197	-0.4535603	0.3285158	0.4703291	-87.694	91.497	452.287	0.1999951	0
1	Port 2: NDI 8700340  s/n:34802401	66993	1	OK	0.6826630	-0.4474950	0.3329529	0.4720824	-86.361	91.142	453.095	0.2101543	0
1	Port 2: NDI 8700340  s/n:34802401	66994	1	OK	0.6837895	-0.4417490	0.3363957	0.4734213	-84.833	90.642	453.880	0.2003467	0
1	Port 2: NDI 8700340  s/n:34802401	66995	1	OK	0.6866123	-0.4375938	0.3383553	0.4717954	-83.419	90.270	454.550	0.2100182	0
1	Port 2: NDI 8700340  s/n:34802401	66996	1	OK	0.6884099	-0.4329358	0.3414805	0.4712213	-81.833	89.951	455.278	0.2014113	0
1	Port 2: NDI 8700340  s/n:34802401	66997	1	OK	0.6912230	-0.4292663	0.3431117	0.4692712	-80.347	89.434	455.902	0.2030143	0
1	Port 2: NDI 8700340  s/n:34802401	66998	1	OK	0.6930719	-0.4256300	0.3459277	0.4677868	-78.895	89.103	456.471	0.1999477	0
1	Port 2: NDI 8700340  s/n:34802401	66999	1	OK	0.6949369	-0.4221076	0.3487747	0.4660944	-77.503	88.764	456.912	0.2070574	0
1	Port 2: NDI 8700340  s/n:34802401	67000	1	OK	0.6971451	-0.4186445	0.3507594	0.4644280	-75.937	88.479	457.164	0.1961630	0
1	Port 2: NDI 8700340  s/n:34802401	67001	1	OK	0.6996741	-0.4158813	0.3527718	0.4615745	-74.371	88.160	457.411	0.1935734	0
